Sub-category,Question,Answer,Topic,Category
"Supply Chain Management (SCM)","When does the aggregate values reset? Is this documented?","It resets every 12 months. The below is the definition in the Procurement and Contract Management Policy. 
“Aggregated Value”:  The total value of all contract(s) and/or amendment(s) awarded to the same supplier or  individual contractor or consultant by the same BU within the last 12 months, whether or not previously reviewed by the relevant local or regional PRC, including the award under consideration (i.e. the proposed award).
Aggregated Value = 
+ proposed award
+ value of previous contract(s) and/or amendment(s):
       • awarded within the last 12 months;
       • unless, the review by HQ-PRC and award by CPO has reset this value to zero (see paragraph 5.1.2.h of the
           Procurement Review Committee (PRC) Procedure)","PRC","Quantum"
"Supply Chain Management (SCM)","Is the Procurement Plan mandatory?","Yes, it's mandatory and should be updated throughout the year in accordance with Procurement and Contract Management Policy clause 5.8.5.  Country Office, Multi-Country Office, Regional Office and HQ BUs shall create online procurement plans at the beginning of each year and/or as the need arises and shall maintain and update those throughout the year. The HQ Procurement Section shall provide the online planning tool, monitor its usage and provide global data consolidation.","Proc Plan","Quantum"
"Supply Chain Management (SCM)","When will the HQ and RO review the proc plan to give the feedback?","As per the expected functionalities, procurement plan sub-tasks would not require approval in the Quantum.","Proc Plan","Quantum"
"Supply Chain Management (SCM)","If a procurement plan item has two COAs, should two procucrement plan sub-tasks be created?","Separate procurement plan subtasks would need to be created in the project under the relevant Task (Activity) and sourced into respective requisition lines.","Proc Plan","Quantum"
"Supply Chain Management (SCM)","Is it possible to close a negotiation before the deadline? Technically I checked and it is, but does the policy approve this? If yes, does it need internal approval to close?","Closing the solicitation (negotiation) before the deadline is not permitted. 
However, the solicitation (negotiation) may be cancelled before the deadline if the request for services/works/goods is no longer required by the organization.","Negotiations","Quantum"
"Supply Chain Management (SCM)","If the Procurement Practitioner makes a negotiation amendment adding more requirements, which is the new deadline? Is there any minimum of days?","If any amendments need to be made in the solicitation document (including requirements, TOR and Specification), UN Women should give all bidders a reasonable extension of the deadline as bidders who have already submitted the bid will be required to re-submit it in the system (all bids submitted before the amendment of the negotiation will be archived). The policy and procedure do not give a blanket duration for such extension. It should be considered and adjusted on case-by-case basis. 

The relevant provisions are below:
SOLICITATION PROCEDURE 
5.3.11 Modifications: The Letter shall stipulate that any additional information, clarification, correction of errors or modifications of bidding documents shall be distributed by UN Women to all bidders prior to the deadline for receipt in order to enable suppliers to take appropriate actions.  
5.9.6 Amendments to Solicitation Documents: At any time before the deadline for submission of offers, UN Women may, for any reason, whether on its own initiative or following a request for clarification by a supplier, modify the Solicitation Document. Amendments to Solicitation Documents shall be made in good time before the deadline for submission of offers in order for suppliers to address changes in their offers. In certain cases, amendments shall justify an extension of the submission deadline. This shall be assessed on a case-by-case basis.","Negotiations","Quantum"
"Supply Chain Management (SCM)","As per the current procurement planning procedures, items below 5K USD and travel and SSA are not mandatory to incude in the PP. Will it be the same case with Quantum?","Travel and SSA are not considered Procurement, as Travel is decentralized while SSAs are under the purview of HR, therefore these should not be entered in the procurement plan. At the same time, the threshold and requirements for entering the procurement plan will be shared in due course. The current pipeline envisions that requests not reflected in the PP will be marked as ad-hoc procurement, however developments on this are still ongoing.","Proc Plan","Quantum"
"Supply Chain Management (SCM)","Is it possible to upload the same negotiations templates in different languages?","As a general rule, solicitation documents should be in English. However, the office may issue negotiations in other languages and it would be possible to configure them in languages other than English. It is mandatory to indicate the language(s) of the bidders' response, otherwise the standard Instructions to Vendors indicate that this should be in English.","Negotiations","Quantum"
"Supply Chain Management (SCM)","There are 2 visibility response types: Sealed and blind. When to use each?","This configuration should be set to Sealed.
The system will automatically reject any negotiations with Blind response type.","Negotiations","Quantum"
"Supply Chain Management (SCM)","When creating a solicitation in the system, the proc case manager has to add a contact point name and email. Has each CO/MCO/RO a procurement section contact email?","Let's wait to hear back on whether these fields can be removed/defaulted or hint added. Each office has a dedicated mailbox and we have this entered in E-Procurement right now, but manual entry is risky.","Negotiations","Quantum"
